id,lat,lng,unverified,description,season_start,season_stop,no_season,quality_rating,yield_rating,author,address,city,state,country,created_at,updated_at,access,import_link,muni,types
411,37.862835,-122.262718,false,Corner house of Ellsworth and Parker,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-01 10:09:57 UTC,,http://fallingfruit.org/imports/10,false,{Blackberry}
412,37.864014,-122.260796,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 02:32:21 UTC,,http://fallingfruit.org/imports/10,false,{Grape}
413,37.863052,-122.261017,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 08:40:27 UTC,,http://fallingfruit.org/imports/10,false,{Pear}
414,37.863033,-122.261093,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-01 09:43:52 UTC,,http://fallingfruit.org/imports/10,false,"{""Common fig""}"
415,37.863045,-122.261055,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-06 20:57:49 UTC,,http://fallingfruit.org/imports/10,false,{Apple}
416,37.862801,-122.263222,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 18:57:45 UTC,,http://fallingfruit.org/imports/10,false,{Apple}
417,37.862762,-122.26326,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-01 16:59:19 UTC,,http://fallingfruit.org/imports/10,false,{Lemon}
418,37.862701,-122.263557,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-07 10:45:19 UTC,,http://fallingfruit.org/imports/10,false,{Apple}
419,37.862816,-122.26284,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-06 16:40:17 UTC,,http://fallingfruit.org/imports/10,false,"{""Common fig""}"
420,37.862598,-122.264503,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-06 09:35:27 UTC,,http://fallingfruit.org/imports/10,false,{Lemon}
421,37.862591,-122.264679,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-01 08:47:17 UTC,,http://fallingfruit.org/imports/10,false,{Feijoa}
422,37.862579,-122.264778,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 23:53:31 UTC,,http://fallingfruit.org/imports/10,false,{Apple}
423,37.861572,-122.262894,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-05 06:32:26 UTC,,http://fallingfruit.org/imports/10,false,{Loquat}
424,37.861862,-122.262444,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-05 06:32:10 UTC,,http://fallingfruit.org/imports/10,false,{Kale}
425,37.861912,-122.263062,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 23:59:15 UTC,,http://fallingfruit.org/imports/10,false,{Grape}
426,37.868416,-122.256287,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 23:27:37 UTC,,http://fallingfruit.org/imports/10,false,{Lemon}
427,37.858421,-122.264114,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-08 23:02:25 UTC,,http://fallingfruit.org/imports/10,false,{Plum}
428,37.855366,-122.264465,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-02 07:27:48 UTC,,http://fallingfruit.org/imports/10,false,"{""Common fig""}"
429,37.854626,-122.264999,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-01 16:59:20 UTC,,http://fallingfruit.org/imports/10,false,{Persimmon}
430,37.854561,-122.260796,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-09 17:39:39 UTC,,http://fallingfruit.org/imports/10,false,{Orange}
